figure,panel,caption,source_document,source_document_sha256,source_media_part,processed_file,pixel_width,pixel_height,processed_file_sha256,data_label,processing
1,single,PPMS-MOO architecture,316Manuscript.DOCX,2ee3d23f1a5592b59e6c3e190bc361e1fdb4024405d7a8c5e2681fc3575bb2e0,word/media/image1.png,data/processed/manuscript_figures/panels/Figure_01.png,1780,1088,09e2ed8b68a29a419610e4cb4b159d26846b853814029bb1da2faf9dae7c89ab,经过处理的数据,direct OOXML media extraction; pixels unchanged
2,a,Hypervolume convergence,316Manuscript.DOCX,2ee3d23f1a5592b59e6c3e190bc361e1fdb4024405d7a8c5e2681fc3575bb2e0,word/media/image212.png,data/processed/manuscript_figures/panels/Figure_02a.png,1030,790,f68162459d2efc641a19259d767271e8210ab54c94ba81d8837df50ed2ac93f1,经过处理的数据,direct OOXML media extraction; pixels unchanged
2,b,IGD convergence,316Manuscript.DOCX,2ee3d23f1a5592b59e6c3e190bc361e1fdb4024405d7a8c5e2681fc3575bb2e0,word/media/image213.png,data/processed/manuscript_figures/panels/Figure_02b.png,1014,770,49129a98b90735410c863879bcaddeeac5741fa5bb4d1792af7e155bd7828c1d,经过处理的数据,direct OOXML media extraction; pixels unchanged
3,a,Hypervolume boxplot,316Manuscript.DOCX,2ee3d23f1a5592b59e6c3e190bc361e1fdb4024405d7a8c5e2681fc3575bb2e0,word/media/image214.png,data/processed/manuscript_figures/panels/Figure_03a.png,1294,1332,401a77f5eaf36887d21b12ad6006cbcac43cd58f2549013dc73de4adad1a2598,经过处理的数据,direct OOXML media extraction; pixels unchanged
3,b,IGD boxplot,316Manuscript.DOCX,2ee3d23f1a5592b59e6c3e190bc361e1fdb4024405d7a8c5e2681fc3575bb2e0,word/media/image215.png,data/processed/manuscript_figures/panels/Figure_03b.png,1240,1298,0ba50339e3e0ab33ca86185682da4c3f167eb1002b7c1388537e3ccf49216323,经过处理的数据,direct OOXML media extraction; pixels unchanged
4,single,KPI radar comparison,316Manuscript.DOCX,2ee3d23f1a5592b59e6c3e190bc361e1fdb4024405d7a8c5e2681fc3575bb2e0,word/media/image216.png,data/processed/manuscript_figures/panels/Figure_04.png,1528,1322,9edd9b4791b59820a762dfe8cb85ef961e4490124490df0d9430bc779f2b42b8,经过处理的数据,direct OOXML media extraction; pixels unchanged
5,single,Three-dimensional Pareto sets,316Manuscript.DOCX,2ee3d23f1a5592b59e6c3e190bc361e1fdb4024405d7a8c5e2681fc3575bb2e0,word/media/image217.png,data/processed/manuscript_figures/panels/Figure_05.png,1564,1296,7ad14156cf0a2aa61b6ee097f6e6b9a25a3b0c947da2279b78576af8e8534d4d,经过处理的数据,direct OOXML media extraction; pixels unchanged
6,a,Adaptive adjustment factor sensitivity,316Manuscript.DOCX,2ee3d23f1a5592b59e6c3e190bc361e1fdb4024405d7a8c5e2681fc3575bb2e0,word/media/image218.png,data/processed/manuscript_figures/panels/Figure_06a.png,1316,1232,048773488a65f6468b358f9c6debeece2d9fc1b98fc6c3397e8459e2bb37b92f,经过处理的数据,direct OOXML media extraction; pixels unchanged
6,b,Relocation frequency sensitivity,316Manuscript.DOCX,2ee3d23f1a5592b59e6c3e190bc361e1fdb4024405d7a8c5e2681fc3575bb2e0,word/media/image219.png,data/processed/manuscript_figures/panels/Figure_06b.png,1338,1238,8c1b90284fef8fd8813cb8d91c1d197b2fbf457b540db687080dcfc28d3621db,经过处理的数据,direct OOXML media extraction; pixels unchanged
7,a,Social reliability sensitivity,316Manuscript.DOCX,2ee3d23f1a5592b59e6c3e190bc361e1fdb4024405d7a8c5e2681fc3575bb2e0,word/media/image222.png,data/processed/manuscript_figures/panels/Figure_07a.png,1372,1324,fa03a2ae53f8b905f9760e19ab035a88388c318f75c14231d5fca20be04d5196,经过处理的数据,direct OOXML media extraction; pixels unchanged
7,b,Economic efficiency sensitivity,316Manuscript.DOCX,2ee3d23f1a5592b59e6c3e190bc361e1fdb4024405d7a8c5e2681fc3575bb2e0,word/media/image223.png,data/processed/manuscript_figures/panels/Figure_07b.png,1514,1334,80e21579da88a3574a9fb23db429284f874e6b3332d86fbd0ba6f0dbfd48f4c9,经过处理的数据,direct OOXML media extraction; pixels unchanged
