year,section,indicator,indicator_zh,category,reported_value,reported_unit,normalization_multiplier,value,unit,yoy_pct,share_pct,source_organization,source_url,source_sha256,retrieved_on,data_label,extraction_method
2024,aquaculture_area,aquaculture_area,水产养殖面积,freshwater,5327.82,千公顷,1000.0,5327820.0,hectares,-1.51,,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202507/t20250707_6475475.htm,a4ad7bbeb571678b5ddc776c9e08013b1e7f921a286da1908273de51b723022b,2026-07-23,经过处理的数据（公开来源）,deterministic regex over official HTML text
2024,aquaculture_area,aquaculture_area,水产养殖面积,marine,2240.06,千公顷,1000.0,2240060.0,hectares,1.14,,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202507/t20250707_6475475.htm,a4ad7bbeb571678b5ddc776c9e08013b1e7f921a286da1908273de51b723022b,2026-07-23,经过处理的数据（公开来源）,deterministic regex over official HTML text
2024,aquaculture_area,aquaculture_area,水产养殖面积,total,7567.88,千公顷,1000.0,7567880.0,hectares,-0.74,,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202507/t20250707_6475475.htm,a4ad7bbeb571678b5ddc776c9e08013b1e7f921a286da1908273de51b723022b,2026-07-23,经过处理的数据（公开来源）,deterministic regex over official HTML text
2024,aquaculture_area_by_type,freshwater_aquaculture_area_lakes,淡水湖泊养殖面积,freshwater,807.77,千公顷,1000.0,807770.0,hectares,-2.6,15.16,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202507/t20250707_6475475.htm,a4ad7bbeb571678b5ddc776c9e08013b1e7f921a286da1908273de51b723022b,2026-07-23,经过处理的数据（公开来源）,deterministic table-row regex over official HTML text
2024,aquaculture_area_by_type,freshwater_aquaculture_area_other,淡水其他养殖面积,freshwater,140.38,千公顷,1000.0,140380.0,hectares,-7.17,2.63,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202507/t20250707_6475475.htm,a4ad7bbeb571678b5ddc776c9e08013b1e7f921a286da1908273de51b723022b,2026-07-23,经过处理的数据（公开来源）,deterministic table-row regex over official HTML text
2024,aquaculture_area_by_type,freshwater_aquaculture_area_ponds,淡水池塘养殖面积,freshwater,2624.59,千公顷,1000.0,2624590.0,hectares,-0.15,49.26,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202507/t20250707_6475475.htm,a4ad7bbeb571678b5ddc776c9e08013b1e7f921a286da1908273de51b723022b,2026-07-23,经过处理的数据（公开来源）,deterministic table-row regex over official HTML text
2024,aquaculture_area_by_type,freshwater_aquaculture_area_reservoirs,淡水水库养殖面积,freshwater,1605.62,千公顷,1000.0,1605620.0,hectares,-2.92,30.14,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202507/t20250707_6475475.htm,a4ad7bbeb571678b5ddc776c9e08013b1e7f921a286da1908273de51b723022b,2026-07-23,经过处理的数据（公开来源）,deterministic table-row regex over official HTML text
2024,aquaculture_area_by_type,freshwater_aquaculture_area_rivers_ditches,淡水河沟养殖面积,freshwater,149.47,千公顷,1000.0,149470.0,hectares,1.97,2.81,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202507/t20250707_6475475.htm,a4ad7bbeb571678b5ddc776c9e08013b1e7f921a286da1908273de51b723022b,2026-07-23,经过处理的数据（公开来源）,deterministic table-row regex over official HTML text
2024,aquaculture_area_by_type,marine_aquaculture_area_algae,海水藻类养殖面积,marine,150.46,千公顷,1000.0,150460.0,hectares,0.6,6.72,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202507/t20250707_6475475.htm,a4ad7bbeb571678b5ddc776c9e08013b1e7f921a286da1908273de51b723022b,2026-07-23,经过处理的数据（公开来源）,deterministic table-row regex over official HTML text
2024,aquaculture_area_by_type,marine_aquaculture_area_crustaceans,海水甲壳类养殖面积,marine,294.9,千公顷,1000.0,294900.0,hectares,-0.7,13.17,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/202507/t20250707_6475475.htm,a4ad7bbeb571678b5ddc776c9e08013b1e7f921a286da1908273de51b723022b,2026-07-23,经过处理的数据（公开来源）,deterministic table-row regex over official HTML text
