year,indicator,value,unit,source_organization,source_url,retrieved_on,extraction_status,extraction_method
2015,aquaculture_production,49379000.0,tonnes,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/201904/t20190418_6195519.htm,2026-07-23,parsed,deterministic regex over official HTML text
2015,aquatic_exports_value,20333.0,million USD,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/201904/t20190418_6195519.htm,2026-07-23,parsed,deterministic regex over official HTML text
2015,capture_production,17617500.0,tonnes,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/201904/t20190418_6195519.htm,2026-07-23,parsed,deterministic regex over official HTML text
2015,cold_storage_units,,count,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/201904/t20190418_6195519.htm,2026-07-23,not_found,deterministic regex over official HTML text
2015,distant_water_capture,2192000.0,tonnes,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/201904/t20190418_6195519.htm,2026-07-23,parsed,deterministic regex over official HTML text
2015,fisher_per_capita_net_income,15594.83,RMB/year,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/201904/t20190418_6195519.htm,2026-07-23,parsed,deterministic regex over official HTML text
2015,motorized_fleet_power,22569899.999999996,kW,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/201904/t20190418_6195519.htm,2026-07-23,parsed,deterministic regex over official HTML text
2015,processing_enterprises,,count,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/201904/t20190418_6195519.htm,2026-07-23,not_found,deterministic regex over official HTML text
2015,total_aquatic_products,66996500.0,tonnes,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/201904/t20190418_6195519.htm,2026-07-23,parsed,deterministic regex over official HTML text
2015,total_economic_output,22019.94,100 million RMB,Ministry of Agriculture and Rural Affairs of the PRC,https://yyj.moa.gov.cn/gzdt/201904/t20190418_6195519.htm,2026-07-23,parsed,deterministic regex over official HTML text
