country_code,country,year,indicator_code,indicator,value,unit,source_organization,source_url,source_last_updated,retrieved_on,license,license_url
CHN,China,2014,ER.FSH.AQUA.MT,Aquaculture production (metric tons),57320503.727,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.AQUA.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2014,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),16363366.411,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.CAPT.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2014,ER.FSH.PROD.MT,Total fisheries production (metric tons),73683870.138,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.PROD.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2015,ER.FSH.AQUA.MT,Aquaculture production (metric tons),59368941.586,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.AQUA.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2015,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),16647933.762,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.CAPT.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2015,ER.FSH.PROD.MT,Total fisheries production (metric tons),76016875.348,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.PROD.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2016,ER.FSH.AQUA.MT,Aquaculture production (metric tons),62318377.873,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.AQUA.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2016,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),16019262.222,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.CAPT.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2016,ER.FSH.PROD.MT,Total fisheries production (metric tons),78337640.095,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.PROD.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2017,ER.FSH.AQUA.MT,Aquaculture production (metric tons),64358480.813,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.AQUA.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2017,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),15576685.312,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.CAPT.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2017,ER.FSH.PROD.MT,Total fisheries production (metric tons),79935166.125,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.PROD.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2018,ER.FSH.AQUA.MT,Aquaculture production (metric tons),66135059.342,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.AQUA.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2018,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),14831109.111,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.CAPT.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2018,ER.FSH.PROD.MT,Total fisheries production (metric tons),80966168.453,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.PROD.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2019,ER.FSH.AQUA.MT,Aquaculture production (metric tons),68423859.0,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.AQUA.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2019,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),14169863.257,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.CAPT.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2019,ER.FSH.PROD.MT,Total fisheries production (metric tons),82593722.257,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.PROD.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2020,ER.FSH.AQUA.MT,Aquaculture production (metric tons),70483538.48,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.AQUA.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2020,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),13445983.0,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.CAPT.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2020,ER.FSH.PROD.MT,Total fisheries production (metric tons),83929521.48,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.PROD.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2021,ER.FSH.AQUA.MT,Aquaculture production (metric tons),72805297.0,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.AQUA.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2021,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),13142836.999,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.CAPT.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2021,ER.FSH.PROD.MT,Total fisheries production (metric tons),85948133.999,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.PROD.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2022,ER.FSH.AQUA.MT,Aquaculture production (metric tons),75434999.0,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.AQUA.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2022,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),13179076.999,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.CAPT.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2022,ER.FSH.PROD.MT,Total fisheries production (metric tons),88614075.999,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.PROD.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2023,ER.FSH.AQUA.MT,Aquaculture production (metric tons),78276940.6,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.AQUA.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2023,ER.FSH.CAPT.MT,Capture fisheries production (metric tons),13263391.0,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.CAPT.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
CHN,China,2023,ER.FSH.PROD.MT,Total fisheries production (metric tons),91540331.6,metric tonnes,FAO via World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.PROD.MT?format=json&date=2014:2023&per_page=100,2026-07-13,2026-07-23,CC BY 4.0,https://datacatalog.worldbank.org/public-licenses
