province_code,province_en,province_zh,year,aquatic_total_10000_t,marine_total_10000_t,marine_capture_10000_t,marine_aquaculture_10000_t,freshwater_total_10000_t,freshwater_capture_10000_t,freshwater_aquaculture_10000_t,population_10000_persons,disposable_income_yuan,wastewater_cod_tonnes,wastewater_total_phosphorus_tonnes,freight_total_10000_tonnes,enterprises_units,ecommerce_enterprises_units,ecommerce_sales_100m_yuan,source_tables,data_status,transcription_note
CN-BJ,Beijing,北京,2024,7.1,5.7,5.7,0.0,1.4,0.2,1.2,2183,85415,114599,1185,19956,49504,11528,46980.2,NBS 2025 Tables 2-5; 6-18; 8-10; 12-15; 16-13; 16-39,official public data; manually transcribed and double-checked,Values retain the units printed by NBS; component totals can differ by 0.1 because the source is rounded to one decimal place.
CN-TJ,Tianjin,天津,2024,29.9,4.5,3.3,1.2,25.4,0.3,25.1,1364,53581,189195,2054,58602,29626,2619,8126.2,NBS 2025 Tables 2-5; 6-18; 8-10; 12-15; 16-13; 16-39,official public data; manually transcribed and double-checked,Values retain the units printed by NBS; component totals can differ by 0.1 because the source is rounded to one decimal place.
CN-HE,Hebei,河北,2024,118.0,85.4,22.1,63.3,32.6,4.5,28.1,7378,34665,1536069,16123,270712,43022,3671,4056.8,NBS 2025 Tables 2-5; 6-18; 8-10; 12-15; 16-13; 16-39,official public data; manually transcribed and double-checked,Values retain the units printed by NBS; component totals can differ by 0.1 because the source is rounded to one decimal place.
CN-SX,Shanxi,山西,2024,5.8,0.0,0.0,0.0,5.8,0.0,5.8,3446,32441,793400,9288,224552,28985,2600,6152.9,NBS 2025 Tables 2-5; 6-18; 8-10; 12-15; 16-13; 16-39,official public data; manually transcribed and double-checked,Values retain the units printed by NBS; component totals can differ by 0.1 because the source is rounded to one decimal place.
CN-NM,Inner Mongolia,内蒙古,2024,11.6,0.0,0.0,0.0,11.6,1.1,10.4,2388,40077,906870,5604,251474,13949,1521,6194.2,NBS 2025 Tables 2-5; 6-18; 8-10; 12-15; 16-13; 16-39,official public data; manually transcribed and double-checked,Values retain the units printed by NBS; component totals can differ by 0.1 because the source is rounded to one decimal place.
CN-LN,Liaoning,辽宁,2024,535.9,452.0,69.7,382.3,83.9,3.3,80.6,4155,39844,1372012,15537,185682,33151,2759,6954.6,NBS 2025 Tables 2-5; 6-18; 8-10; 12-15; 16-13; 16-39,official public data; manually transcribed and double-checked,Values retain the units printed by NBS; component totals can differ by 0.1 because the source is rounded to one decimal place.
CN-JL,Jilin,吉林,2024,26.6,0.0,0.0,0.0,26.6,1.8,24.8,2317,31318,899449,7346,55578,13240,1018,1322.6,NBS 2025 Tables 2-5; 6-18; 8-10; 12-15; 16-13; 16-39,official public data; manually transcribed and double-checked,Values retain the units printed by NBS; component totals can differ by 0.1 because the source is rounded to one decimal place.
CN-HL,Heilongjiang,黑龙江,2024,81.4,0.0,0.0,0.0,81.4,5.1,76.3,3029,31269,1004969,9166,55452,15078,1263,1372.8,NBS 2025 Tables 2-5; 6-18; 8-10; 12-15; 16-13; 16-39,official public data; manually transcribed and double-checked,Values retain the units printed by NBS; component totals can differ by 0.1 because the source is rounded to one decimal place.
CN-SH,Shanghai,上海,2024,22.0,12.1,12.1,0.0,10.0,0.0,9.9,2480,88366,130709,1617,155511,57286,8479,46683.4,NBS 2025 Tables 2-5; 6-18; 8-10; 12-15; 16-13; 16-39,official public data; manually transcribed and double-checked,Values retain the units printed by NBS; component totals can differ by 0.1 because the source is rounded to one decimal place.
CN-JS,Jiangsu,江苏,2024,536.1,148.1,45.8,102.3,388.0,18.5,369.4,8526,55415,1206340,18831,319944,185646,21199,30208.7,NBS 2025 Tables 2-5; 6-18; 8-10; 12-15; 16-13; 16-39,official public data; manually transcribed and double-checked,Values retain the units printed by NBS; component totals can differ by 0.1 because the source is rounded to one decimal place.
CN-ZJ,Zhejiang,浙江,2024,649.5,488.5,316.3,172.2,161.0,17.1,144.0,6670,67013,514440,12599,371158,139433,19861,27311.2,NBS 2025 Tables 2-5; 6-18; 8-10; 12-15; 16-13; 16-39,official public data; manually transcribed and double-checked,Values retain the units printed by NBS; component totals can differ by 0.1 because the source is rounded to one decimal place.
CN-AH,Anhui,安徽,2024,261.2,0.0,0.0,0.0,261.2,9.8,251.4,6123,36782,1397464,22504,441542,58921,7057,11568.9,NBS 2025 Tables 2-5; 6-18; 8-10; 12-15; 16-13; 16-39,official public data; manually transcribed and double-checked,Values retain the units printed by NBS; component totals can differ by 0.1 because the source is rounded to one decimal place.
