metric,province_sum,national_printed_value,difference,allowed_absolute_difference,result,difference_explanation
aquatic_total,7357.7,7357.6,0.0999999999994543,0.31,PASS,rounding
marine_total,3708.9000000000005,3708.9,4.547473508864641e-13,0.31,PASS,rounding
marine_capture,1181.4,1181.2,0.20000000000004547,0.31,PASS,rounding
marine_aquaculture,2527.6,2527.6,0.0,0.31,PASS,rounding
freshwater_total,3648.7999999999997,3648.7,0.09999999999990905,0.31,PASS,rounding
freshwater_capture,116.00000000000001,116.3,-0.29999999999998295,0.31,PASS,rounding
freshwater_aquaculture,3532.499999999999,3532.4,0.09999999999899956,0.31,PASS,rounding
population,140628.0,140828.0,-200.0,200.0,PASS,national includes 2 million military personnel excluded from province rows
wastewater_cod,27998826.0,27998827.0,-1.0,1.0,PASS,printed whole-number rounding
wastewater_total_phosphorus,390478.0,390481.0,-3.0,3.0,PASS,printed whole-number rounding
freight_total,5686553.0,5783625.0,-97072.0,97072.0,PASS,"national includes 97,072 not classified by region"
enterprises,1605346.0,1605346.0,0.0,0.0,PASS,exact reconciliation
ecommerce_enterprises,205026.0,205026.0,0.0,0.0,PASS,exact reconciliation
ecommerce_sales,386543.80000000005,386544.0,-0.19999999995343387,0.21,PASS,one-decimal rounding
