year,comparison_year,indicator,indicator_zh,reported_value,reported_unit,normalization_multiplier,value,unit,change_direction,source_organization,source_url,source_sha256,retrieved_on,data_label,extraction_method
2024,2024,monitoring_stations,监测站数量,42.0,个,1.0,42.0,count,level,Ministry of Agriculture and Rural Affairs / Ministry of Ecology and Environment,https://cjyzbgs.moa.gov.cn/gzdt/202509/t20250918_6477465.htm,2a76135b5adb7c2fb9da39d27b7c6d7a80384444cb07be4e48b47854e989e47c,2026-07-23,经过处理的数据（公开来源）,deterministic regex over official HTML summary
2024,2024,important_fishery_waters,重要渔业水域数量,159.0,个,1.0,159.0,count,level,Ministry of Agriculture and Rural Affairs / Ministry of Ecology and Environment,https://cjyzbgs.moa.gov.cn/gzdt/202509/t20250918_6477465.htm,2a76135b5adb7c2fb9da39d27b7c6d7a80384444cb07be4e48b47854e989e47c,2026-07-23,经过处理的数据（公开来源）,deterministic regex over official HTML summary
2024,2024,monitored_water_area,监测水域总面积,1016.0,万公顷,10000.0,10160000.0,hectares,level,Ministry of Agriculture and Rural Affairs / Ministry of Ecology and Environment,https://cjyzbgs.moa.gov.cn/gzdt/202509/t20250918_6477465.htm,2a76135b5adb7c2fb9da39d27b7c6d7a80384444cb07be4e48b47854e989e47c,2026-07-23,经过处理的数据（公开来源）,deterministic regex over official HTML summary
2024,2023,monitoring_station_increase,监测站增加数,1.0,个,1.0,1.0,count,increase,Ministry of Agriculture and Rural Affairs / Ministry of Ecology and Environment,https://cjyzbgs.moa.gov.cn/gzdt/202509/t20250918_6477465.htm,2a76135b5adb7c2fb9da39d27b7c6d7a80384444cb07be4e48b47854e989e47c,2026-07-23,经过处理的数据（公开来源）,deterministic regex over official HTML summary
2024,2023,important_water_increase,重要渔业水域增加数,6.0,个,1.0,6.0,count,increase,Ministry of Agriculture and Rural Affairs / Ministry of Ecology and Environment,https://cjyzbgs.moa.gov.cn/gzdt/202509/t20250918_6477465.htm,2a76135b5adb7c2fb9da39d27b7c6d7a80384444cb07be4e48b47854e989e47c,2026-07-23,经过处理的数据（公开来源）,deterministic regex over official HTML summary
2024,2023,monitored_area_increase,监测面积增加量,15.0,万公顷,10000.0,150000.0,hectares,increase,Ministry of Agriculture and Rural Affairs / Ministry of Ecology and Environment,https://cjyzbgs.moa.gov.cn/gzdt/202509/t20250918_6477465.htm,2a76135b5adb7c2fb9da39d27b7c6d7a80384444cb07be4e48b47854e989e47c,2026-07-23,经过处理的数据（公开来源）,deterministic regex over official HTML summary
2024,2023,marine_cod_exceedance_area_ratio,海洋化学需氧量超标面积比例,25.0,%,1.0,25.0,percentage points reported as decline magnitude,decrease,Ministry of Agriculture and Rural Affairs / Ministry of Ecology and Environment,https://cjyzbgs.moa.gov.cn/gzdt/202509/t20250918_6477465.htm,2a76135b5adb7c2fb9da39d27b7c6d7a80384444cb07be4e48b47854e989e47c,2026-07-23,经过处理的数据（公开来源）,deterministic regex over official HTML summary
2024,2023,inland_unionized_ammonia_exceedance_area_ratio,内陆非离子氨超标面积比例,25.0,%,1.0,25.0,percentage points reported as decline magnitude,decrease,Ministry of Agriculture and Rural Affairs / Ministry of Ecology and Environment,https://cjyzbgs.moa.gov.cn/gzdt/202509/t20250918_6477465.htm,2a76135b5adb7c2fb9da39d27b7c6d7a80384444cb07be4e48b47854e989e47c,2026-07-23,经过处理的数据（公开来源）,deterministic regex over official HTML summary
2024,2023,inland_permanganate_exceedance_area_ratio,内陆高锰酸盐指数超标面积比例,32.0,%,1.0,32.0,percentage points reported as decline magnitude,decrease,Ministry of Agriculture and Rural Affairs / Ministry of Ecology and Environment,https://cjyzbgs.moa.gov.cn/gzdt/202509/t20250918_6477465.htm,2a76135b5adb7c2fb9da39d27b7c6d7a80384444cb07be4e48b47854e989e47c,2026-07-23,经过处理的数据（公开来源）,deterministic regex over official HTML summary
2024,2020,marine_inorganic_nitrogen_exceedance_area_ratio,海洋无机氮超标面积比例,16.0,%,1.0,16.0,percentage points reported as decline magnitude,decrease,Ministry of Agriculture and Rural Affairs / Ministry of Ecology and Environment,https://cjyzbgs.moa.gov.cn/gzdt/202509/t20250918_6477465.htm,2a76135b5adb7c2fb9da39d27b7c6d7a80384444cb07be4e48b47854e989e47c,2026-07-23,经过处理的数据（公开来源）,deterministic regex over official HTML summary
2024,2020,marine_reactive_phosphate_exceedance_area_ratio,海洋活性磷酸盐超标面积比例,50.0,%,1.0,50.0,percentage points reported as decline magnitude,decrease,Ministry of Agriculture and Rural Affairs / Ministry of Ecology and Environment,https://cjyzbgs.moa.gov.cn/gzdt/202509/t20250918_6477465.htm,2a76135b5adb7c2fb9da39d27b7c6d7a80384444cb07be4e48b47854e989e47c,2026-07-23,经过处理的数据（公开来源）,deterministic regex over official HTML summary
2024,2020,river_total_phosphorus_exceedance_area_ratio,江河总磷超标面积比例,41.0,%,1.0,41.0,percentage points reported as decline magnitude,decrease,Ministry of Agriculture and Rural Affairs / Ministry of Ecology and Environment,https://cjyzbgs.moa.gov.cn/gzdt/202509/t20250918_6477465.htm,2a76135b5adb7c2fb9da39d27b7c6d7a80384444cb07be4e48b47854e989e47c,2026-07-23,经过处理的数据（公开来源）,deterministic regex over official HTML summary
