field,definition,unit,evidence_class,source_table,source_url,processing
province_code,ISO-style subdivision code,text,identifier,NBS tables,https://www.stats.gov.cn/sj/ndsj/2025/left_.htm,Assigned consistently across the six transcribed tables.
province_en,Province-level region name in English,text,official public data,NBS tables,https://www.stats.gov.cn/sj/ndsj/2025/left_.htm,Transcribed.
province_zh,Province-level region name in Chinese,text,identifier,NBS tables,https://www.stats.gov.cn/sj/ndsj/2025/left_.htm,Standard Chinese name added for usability.
year,Reference year,year,official public data,NBS tables,https://www.stats.gov.cn/sj/ndsj/2025/left_.htm,All included observations refer to 2024.
aquatic_total_10000_t,Total output of aquatic products,10 000 tonnes,official public data,12-15 Output of Aquatic Products,https://www.stats.gov.cn/sj/ndsj/2025/html/E12-15.jpg,Transcribed without changing the printed unit.
marine_total_10000_t,Output of marine aquatic products,10 000 tonnes,official public data,12-15 Output of Aquatic Products,https://www.stats.gov.cn/sj/ndsj/2025/html/E12-15.jpg,Transcribed without changing the printed unit.
marine_capture_10000_t,Output of marine fishing products,10 000 tonnes,official public data,12-15 Output of Aquatic Products,https://www.stats.gov.cn/sj/ndsj/2025/html/E12-15.jpg,Transcribed without changing the printed unit.
marine_aquaculture_10000_t,Output of marine aquacultural products,10 000 tonnes,official public data,12-15 Output of Aquatic Products,https://www.stats.gov.cn/sj/ndsj/2025/html/E12-15.jpg,Transcribed without changing the printed unit.
freshwater_total_10000_t,Output of freshwater aquatic products,10 000 tonnes,official public data,12-15 Output of Aquatic Products,https://www.stats.gov.cn/sj/ndsj/2025/html/E12-15.jpg,Transcribed without changing the printed unit.
freshwater_capture_10000_t,Output of freshwater fishing products,10 000 tonnes,official public data,12-15 Output of Aquatic Products,https://www.stats.gov.cn/sj/ndsj/2025/html/E12-15.jpg,Transcribed without changing the printed unit.
freshwater_aquaculture_10000_t,Output of freshwater aquacultural products,10 000 tonnes,official public data,12-15 Output of Aquatic Products,https://www.stats.gov.cn/sj/ndsj/2025/html/E12-15.jpg,Transcribed without changing the printed unit.
population_10000_persons,Population at year-end by region,10 000 persons,official public data,2-5 Population at Year-end by Region,https://www.stats.gov.cn/sj/ndsj/2025/html/E02-05.jpg,2024 column transcribed; provincial sum excludes military personnel included in the national total.
disposable_income_yuan,Per-capita disposable income of households,yuan per person,official public data,6-18 Per Capita Disposable Income of Households by Region,https://www.stats.gov.cn/sj/ndsj/2025/html/E06-18.jpg,2024 column transcribed.
wastewater_cod_tonnes,Chemical oxygen demand discharged in wastewater,tonnes,official public data,8-10 Main Pollutant Contents Discharged in Wastewater by Region (2024),https://www.stats.gov.cn/sj/ndsj/2025/html/E08-10.jpg,Transcribed; NBS marks this table as preliminary.
wastewater_total_phosphorus_tonnes,Total phosphorus discharged in wastewater,tonnes,official public data,8-10 Main Pollutant Contents Discharged in Wastewater by Region (2024),https://www.stats.gov.cn/sj/ndsj/2025/html/E08-10.jpg,Transcribed; NBS marks this table as preliminary.
freight_total_10000_tonnes,Total freight traffic by region,10 000 tonnes,official public data,16-13 Freight Traffic by Region (2024),https://www.stats.gov.cn/sj/ndsj/2025/html/E16-13.jpg,Transcribed; the national total also includes freight not classified by region.
enterprises_units,Number of enterprises,units,official public data,16-39 Informatization and E-Commerce of Enterprises by Region (2024),https://www.stats.gov.cn/sj/ndsj/2025/html/E16-39.jpg,Transcribed.
ecommerce_enterprises_units,Enterprises with e-commerce transactions,units,official public data,16-39 Informatization and E-Commerce of Enterprises by Region (2024),https://www.stats.gov.cn/sj/ndsj/2025/html/E16-39.jpg,Transcribed.
ecommerce_sales_100m_yuan,Sales of enterprises through e-commerce,100 million yuan,official public data,16-39 Informatization and E-Commerce of Enterprises by Region (2024),https://www.stats.gov.cn/sj/ndsj/2025/html/E16-39.jpg,Transcribed.
data_status,Evidence classification,text,provenance control,Repository classification,,All rows state that they are official public data and manual transcriptions; they are not historical author inputs.
transcription_note,Rounding and transcription qualification,text,provenance control,Repository classification,,No interpolation or third-party value substitution.
