source_id,publisher,dataset,coverage,url,access,license_or_terms,repository_file,retrieved_on,notes
world_bank_er_fsh_prod_mt,World Bank / FAO,Total fisheries production,"China, 2014-2023 snapshot",https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.PROD.MT?format=json&date=2014:2023&per_page=100,Downloaded and normalized,CC BY 4.0,data/public/world_bank_fao_china_fisheries_2014_2023.csv,2026-07-23,National series; not a substitute for the missing 31-province coefficient matrix.
world_bank_er_fsh_aqua_mt,World Bank / FAO,Aquaculture production,"China, 2014-2023 snapshot",https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.AQUA.MT?format=json&date=2014:2023&per_page=100,Downloaded and normalized,CC BY 4.0,data/public/world_bank_fao_china_fisheries_2014_2023.csv,2026-07-23,National series; not a substitute for the missing 31-province coefficient matrix.
world_bank_er_fsh_capt_mt,World Bank / FAO,Capture fisheries production,"China, 2014-2023 snapshot",https://api.worldbank.org/v2/country/CHN/indicator/ER.FSH.CAPT.MT?format=json&date=2014:2023&per_page=100,Downloaded and normalized,CC BY 4.0,data/public/world_bank_fao_china_fisheries_2014_2023.csv,2026-07-23,National series; not a substitute for the missing 31-province coefficient matrix.
moa_communique_2015,Ministry of Agriculture and Rural Affairs of the PRC,2015 national fishery economic statistics communique,"China, 2015",https://yyj.moa.gov.cn/gzdt/201904/t20190418_6195519.htm,Key statistics extracted from official HTML,Official website terms apply; numerical facts extracted with attribution,data/public/moa_national_fishery_statistics.csv,2026-07-23,2017 is an attachment-only legacy DOC and 2018 was not available as an accessible official HTML page; neither is silently interpolated.
moa_communique_2016,Ministry of Agriculture and Rural Affairs of the PRC,2016 national fishery economic statistics communique,"China, 2016",https://yyj.moa.gov.cn/gzdt/201904/t20190418_6195820.htm,Key statistics extracted from official HTML,Official website terms apply; numerical facts extracted with attribution,data/public/moa_national_fishery_statistics.csv,2026-07-23,2017 is an attachment-only legacy DOC and 2018 was not available as an accessible official HTML page; neither is silently interpolated.
moa_communique_2019,Ministry of Agriculture and Rural Affairs of the PRC,2019 national fishery economic statistics communique,"China, 2019",https://cnafun.moa.gov.cn/kx/gn/202006/t20200619_6346974.html,Key statistics extracted from official HTML,Official website terms apply; numerical facts extracted with attribution,data/public/moa_national_fishery_statistics.csv,2026-07-23,2017 is an attachment-only legacy DOC and 2018 was not available as an accessible official HTML page; neither is silently interpolated.
moa_communique_2020,Ministry of Agriculture and Rural Affairs of the PRC,2020 national fishery economic statistics communique,"China, 2020",https://yyj.moa.gov.cn/gzdt/202107/t20210728_6372958.htm,Key statistics extracted from official HTML,Official website terms apply; numerical facts extracted with attribution,data/public/moa_national_fishery_statistics.csv,2026-07-23,2017 is an attachment-only legacy DOC and 2018 was not available as an accessible official HTML page; neither is silently interpolated.
moa_communique_2021,Ministry of Agriculture and Rural Affairs of the PRC,2021 national fishery economic statistics communique,"China, 2021",https://yyj.moa.gov.cn/gzdt/202207/t20220721_6405222.htm,Key statistics extracted from official HTML,Official website terms apply; numerical facts extracted with attribution,data/public/moa_national_fishery_statistics.csv,2026-07-23,2017 is an attachment-only legacy DOC and 2018 was not available as an accessible official HTML page; neither is silently interpolated.
moa_communique_2022,Ministry of Agriculture and Rural Affairs of the PRC,2022 national fishery economic statistics communique,"China, 2022",https://yyj.moa.gov.cn/yqxx/202306/t20230628_6431131.htm,Key statistics extracted from official HTML,Official website terms apply; numerical facts extracted with attribution,data/public/moa_national_fishery_statistics.csv,2026-07-23,2017 is an attachment-only legacy DOC and 2018 was not available as an accessible official HTML page; neither is silently interpolated.
moa_communique_2023,Ministry of Agriculture and Rural Affairs of the PRC,2023 national fishery economic statistics communique,"China, 2023",https://yyj.moa.gov.cn/gzdt/202407/t20240705_6458486.htm,Key statistics extracted from official HTML,Official website terms apply; numerical facts extracted with attribution,data/public/moa_national_fishery_statistics.csv,2026-07-23,2017 is an attachment-only legacy DOC and 2018 was not available as an accessible official HTML page; neither is silently interpolated.
moa_communique_2024,Ministry of Agriculture and Rural Affairs of the PRC,2024 national fishery economic statistics communique,"China, 2024",https://yyj.moa.gov.cn/gzdt/202507/t20250707_6475475.htm,Key statistics extracted from official HTML,Official website terms apply; numerical facts extracted with attribution,data/public/moa_national_fishery_statistics.csv,2026-07-23,2017 is an attachment-only legacy DOC and 2018 was not available as an accessible official HTML page; neither is silently interpolated.
moa_2024_detailed,Ministry of Agriculture and Rural Affairs of the PRC,"2024 national fishery economic statistics communique, detailed extraction","China, 2024; economy, production, species, area, fleet, population, processing, trade, disasters",https://yyj.moa.gov.cn/gzdt/202507/t20250707_6475475.htm,Detailed statistics extracted and normalized from official HTML,Official website terms apply; numerical facts extracted with attribution,data/public/moa_2024_detailed_fishery_statistics.csv,2026-07-23,经过处理的数据（公开来源）; reported values and units are retained beside normalized values.
moa_environment_2024,Ministry of Agriculture and Rural Affairs / Ministry of Ecology and Environment,China fishery ecological environment status communique 2024 summary,"China, 2024; monitoring network and selected exceedance-area changes",https://cjyzbgs.moa.gov.cn/gzdt/202509/t20250918_6477465.htm,Statistics extracted and normalized from official HTML summary,Official website terms apply; numerical facts extracted with attribution,data/public/moa_fishery_environment_2024.csv,2026-07-23,经过处理的数据（公开来源）; decline magnitudes are not absolute concentration levels.
nbs_2025_aquatic_products,National Bureau of Statistics of China,2025 national economic and social development statistical communique,"China, 2025; total, aquaculture and capture production",https://www.stats.gov.cn/sj/zxfb/202602/t20260228_1962662.html,Statistics extracted and normalized from official HTML,National Bureau of Statistics website terms apply,data/public/official_latest_aquatic_products_2025.csv,2026-07-23,经过处理的数据（公开来源）; national rows use production-method categories.
zhejiang_2025_aquatic_products,Zhejiang Provincial Bureau of Statistics / NBS Zhejiang Survey Office,2025 Zhejiang economic and social development statistical communique,"Zhejiang, 2025; total, marine and freshwater production",https://zjzd.stats.gov.cn/zwgk/zfxxgkml/tjxx/tjgb/art/2026/art_48c3c7315981425f9c25b53eab4d65d0.html,Statistics extracted and normalized from official HTML,Zhejiang statistics website terms apply,data/public/official_latest_aquatic_products_2025.csv,2026-07-23,经过处理的数据（公开来源）; Zhejiang rows use water-body categories.
nbs_a0407,National Bureau of Statistics of China,Provincial annual aquatic-product production indicator A0407,31 provincial-level regions; coverage depends on sub-indicator,https://data.stats.gov.cn/easyquery.htm?cn=E0103&zb=A0407,Link and indicator code documented; automated endpoint returned HTTP 403 during retrieval,National Bureau of Statistics website terms apply,,2026-07-23,Not redistributed because a reliable machine-readable download could not be obtained from the official endpoint.
