year,total_production_tonnes,marine_aquaculture_tonnes,domestic_capture_tonnes,distant_water_capture_tonnes,processing_enterprises,cold_storage_units,fleet_power_kw,provenance
2014,64615174,18126481,12808371,2027318,9663,8624,22275528,"Paper Table 3"
2015,66996488,18756277,13147811,2190000,9892,8654,22569851,"Paper Table 3"
2016,69012522,19631308,13282650,1987512,9694,8595,22397991,"Paper Table 3"
2017,64453279,20006973,11124023,2086200,9674,8237,21089027,"Paper Table 3"
2018,64576558,20310326,10444647,2257450,9336,7957,20735788,"Paper Table 3"
2019,64803616,20653287,10011515,2170152,9323,8056,19905327,"Paper Table 3"
2020,65490169,21353076,9474104,2316574,9136,7924,18563868,"Paper Table 3"
2021,66902945,22111374,9514584,2246476,9202,8454,18451989,"Paper Table 3"
2022,68659122,22756987,9508508,2329785,9331,8675,18370182,"Paper Table 3"
2023,71161716,23955970,9574869,2322333,9433,9143,18940154,"Paper Table 3"

