run,algorithm,metric,value,data_status,generation_method
1,IA-NSGA-III,HV,0.9528617193983016,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
1,IA-NSGA-III,IGD,0.0127765776705176,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
2,IA-NSGA-III,HV,0.9668218525866836,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
2,IA-NSGA-III,IGD,0.0128008239432486,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
3,IA-NSGA-III,HV,0.9617032629448355,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
3,IA-NSGA-III,IGD,0.0125296639373278,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
4,IA-NSGA-III,HV,0.95661307726789,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
4,IA-NSGA-III,IGD,0.0139381259223918,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
5,IA-NSGA-III,HV,0.9539153007668464,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
5,IA-NSGA-III,IGD,0.0108146265943501,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
6,IA-NSGA-III,HV,0.9707466588042932,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
6,IA-NSGA-III,IGD,0.0144172519117023,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
7,IA-NSGA-III,HV,0.9483023608883944,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
7,IA-NSGA-III,IGD,0.0086628258221494,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
8,IA-NSGA-III,HV,0.966206608646234,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
8,IA-NSGA-III,IGD,0.0146960186289052,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
9,IA-NSGA-III,HV,0.9541784382364454,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
9,IA-NSGA-III,IGD,0.0137551803201404,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
10,IA-NSGA-III,HV,0.9579137858771948,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
10,IA-NSGA-III,IGD,0.0083130434935994,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
11,IA-NSGA-III,HV,0.9567392122147684,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
11,IA-NSGA-III,IGD,0.0107992356404574,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
12,IA-NSGA-III,HV,0.956332762559322,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
12,IA-NSGA-III,IGD,0.0102666308098582,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
13,IA-NSGA-III,HV,0.9548034988002028,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
13,IA-NSGA-III,IGD,0.0155334109848433,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
14,IA-NSGA-III,HV,0.9553367328132534,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
14,IA-NSGA-III,IGD,0.0120340674134078,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
15,IA-NSGA-III,HV,0.9503169955842968,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
15,IA-NSGA-III,IGD,0.0089687656541641,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
16,IA-NSGA-III,HV,0.946403194112553,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
16,IA-NSGA-III,IGD,0.0126151696552152,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
17,IA-NSGA-III,HV,0.9576289028841948,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
17,IA-NSGA-III,IGD,0.0107632578222196,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
18,IA-NSGA-III,HV,0.9566861208252626,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
18,IA-NSGA-III,IGD,0.0146676337176718,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
19,IA-NSGA-III,HV,0.9596922412627322,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
19,IA-NSGA-III,IGD,0.0123814370306263,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
20,IA-NSGA-III,HV,0.9544094267018638,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
20,IA-NSGA-III,IGD,0.0094227593341529,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
21,IA-NSGA-III,HV,0.945289051976278,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
21,IA-NSGA-III,IGD,0.0160312946180413,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
22,IA-NSGA-III,HV,0.9495573486105444,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
22,IA-NSGA-III,IGD,0.0097784160635543,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
23,IA-NSGA-III,HV,0.9553937780076608,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
23,IA-NSGA-III,IGD,0.0108871082523544,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
24,IA-NSGA-III,HV,0.9591087192288617,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
24,IA-NSGA-III,IGD,0.0128775015467451,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
25,IA-NSGA-III,HV,0.9588565322288416,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
25,IA-NSGA-III,IGD,0.016607713809624,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
26,IA-NSGA-III,HV,0.9441813274154308,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
26,IA-NSGA-III,IGD,0.0146820241881056,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
27,IA-NSGA-III,HV,0.945304685953958,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
27,IA-NSGA-III,IGD,0.014073466562938,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
28,IA-NSGA-III,HV,0.9537391779642824,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
28,IA-NSGA-III,IGD,0.009593490137918,calibrated reconstruction from manuscript anchors; not original run logs,deterministic normal draws from disclosed mean/dispersion anchors; seed 1809036
