algorithm,run_id,seed,solution_id,feasible,total_constraint_violation,total_supply_tonnes,capture_tonnes,aquaculture_tonnes,processed_tonnes,data_status,social_reliability,economic_efficiency,ecological_security,g_national_capture_tac,g_capture_share,g_national_processing_capacity,g_national_total_supply,g_regional_cold_storage,g_minimum_supply,g_fleet_power
IA-NSGA-III,1,1809036,1,True,0.0,66496954.042744316,4425861.56089884,62071092.48184547,17028372.088055417,经过处理的数据 / public-data surrogate; not author-run logs,0.7525886946294436,0.7963036835573358,0.6873631602018373,-0.6612584526620408,-0.21344264222908782,-0.35326703947084914,-0.1505014240733764,-0.0714381997207083,-0.3793129944949185,-0.4727418931926314
IA-NSGA-III,1,1809036,2,True,0.0,59142415.2923556,3305653.673283554,55836761.619072065,16074450.741432516,经过处理的数据 / public-data surrogate; not author-run logs,0.6874660206079598,0.7608653968039247,0.7168881833700851,-0.7469956470974503,-0.22410688746912197,-0.3894967138885307,-0.24445565528577717,-0.07099897954503176,-0.30212868250352287,-0.5613366581200951
IA-NSGA-III,1,1809036,3,True,0.0,69348327.58772819,6823416.8052396495,62524910.78248853,17971484.53947262,经过处理的数据 / public-data surrogate; not author-run logs,0.7629199685723692,0.8174964417494264,0.6249028637387612,-0.4777571022195958,-0.1816066134167724,-0.3174478839659728,-0.11407512754945393,-0.07600227983667451,-0.40483358841224937,-0.3450058892110597
IA-NSGA-III,1,1809036,4,True,0.0,68513537.13104126,4802869.185200197,63710667.94584107,15623590.510574348,经过处理的数据 / public-data surrogate; not author-run logs,0.8263204899166624,0.7320092204460998,0.6758738449515804,-0.632403472844707,-0.2098989749133216,-0.40662026336113655,-0.12473957548336745,0.0,-0.3975818939101281,-0.4457302102734023
IA-NSGA-III,1,1809036,5,True,0.0,63767472.29495068,3378003.3478222988,60389468.94712839,15604546.406868925,经过处理的数据 / public-data surrogate; not author-run logs,0.7485401952249654,0.746860571355502,0.7142938893750984,-0.7414582301752466,-0.22702623098814945,-0.4073435532626223,-0.18537055291013405,-0.09193990186846113,-0.35274531364373696,-0.5347829466145793
IA-NSGA-III,1,1809036,6,True,0.0,62659095.97919151,1345187.6039376187,61313908.375253886,13781071.746683704,经过处理的数据 / public-data surrogate; not author-run logs,0.7532111121570891,0.6940612078840268,0.7667006792680247,-0.8970435644794255,-0.25853164679579255,-0.4765986270496638,-0.19953006014444996,-0.10760860114829507,-0.34129602996974884,-0.6369114661905719
IA-NSGA-III,1,1809036,7,True,0.0,61383747.40762536,1984547.6136153187,59399199.79401005,13454944.389807792,经过处理的数据 / public-data surrogate; not author-run logs,0.7170294695283251,0.7150811750461766,0.7493776275559126,-0.8481089568320385,-0.24766981982320638,-0.4889848557467601,-0.21582263791664513,-0.08161818808694066,-0.3276103688177112,-0.6123100852132544
IA-NSGA-III,1,1809036,8,True,0.0,65383440.3459336,2773962.757342594,62609477.588591024,14910888.582116442,经过处理的数据 / public-data surrogate; not author-run logs,0.8167908305560446,0.6801638151867948,0.7293560668663774,-0.787689600374832,-0.23757392479401532,-0.4336884896004337,-0.1647265613497011,-0.01664584608425168,-0.36874237480275174,-0.5571667785224835
IA-NSGA-III,1,1809036,9,True,0.0,63721480.42769325,2964972.7385642165,60756507.68912904,14835915.04216313,经过处理的数据 / public-data surrogate; not author-run logs,0.7374437480779286,0.7459367294273654,0.7242007514186491,-0.7730702961544654,-0.23346980769022369,-0.4365359643446207,-0.1859580990060692,-0.08035016583573729,-0.35227814854624007,-0.5553831177098112
IA-NSGA-III,1,1809036,10,True,0.0,67596939.89500204,3647119.900181872,63949819.99482016,16595337.635781785,经过处理的数据 / public-data surrogate; not author-run logs,0.7803938276768423,0.7641584228867453,0.7060438549646674,-0.7208608942427541,-0.22604607981001917,-0.36971357070013156,-0.13644910500878116,-0.03881643315905836,-0.3894132582908286,-0.5034808292977071
IA-NSGA-III,1,1809036,11,True,0.0,69574824.07098153,5702340.6687973235,63872483.40218422,15815080.913307723,经过处理的数据 / public-data surrogate; not author-run logs,0.8204681321410804,0.7500559143716607,0.6524563626749547,-0.5635607496940573,-0.19804017121222345,-0.399347509721959,-0.11118163501666178,-0.043129964556375966,-0.40677111539812594,-0.3977801321535388
