algorithm,run_id,seed,generation,evaluations,population_size,feasible_count,feasible_fraction,mean_total_constraint_violation,max_total_constraint_violation,non_dominated_count,hv_against_zero_reference,max_social_reliability,max_economic_efficiency,max_ecological_security,data_status
IA-NSGA-III,1,1809036,1,48,48,47,0.9791666666666666,4.625929269271485e-18,2.220446049250313e-16,8,0.22406346439249752,0.5638569910840654,0.5764909198270107,0.694021731521561,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,1,1809036,2,96,48,48,1.0,0.0,0.0,6,0.23415739967046723,0.5640001489524074,0.5937479650820123,0.7024807175642203,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,1,1809036,3,144,48,48,1.0,0.0,0.0,7,0.23628737203939038,0.5684993790541776,0.5937479650820123,0.7024807175642203,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,1,1809036,4,192,48,48,1.0,0.0,0.0,7,0.2521287290834799,0.5815611869536793,0.6099054282316471,0.715731397702238,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,1,1809036,5,240,48,48,1.0,0.0,0.0,11,0.2597276516271504,0.5960994671460852,0.612955005695924,0.715731397702238,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,1,1809036,6,288,48,48,1.0,0.0,0.0,14,0.26372267701116886,0.5981003252910512,0.6194520264026738,0.7164172029530058,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,1,1809036,7,336,48,48,1.0,0.0,0.0,16,0.29112612189241655,0.6266172243903227,0.6559147180576941,0.7164172029530058,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,1,1809036,8,384,48,48,1.0,0.0,0.0,21,0.295396180995668,0.6266172243903227,0.6559147180576941,0.7298976584700921,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,1,1809036,9,432,48,48,1.0,0.0,0.0,13,0.30649873989847815,0.633682613927557,0.6703630004091828,0.7298976584700921,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,1,1809036,10,480,48,48,1.0,0.0,0.0,15,0.31118755867920106,0.6430771457321193,0.6703630004091828,0.7298976584700921,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,1,1809036,11,528,48,48,1.0,0.0,0.0,12,0.31853222264919945,0.6464303946804307,0.68029682491196,0.730134930103179,经过处理的数据 / public-data surrogate; not author-run logs
