run,algorithm,metric,value
1,IA-NSGA-III,HV,0.9528617193983017
1,IA-NSGA-III,IGD,0.012776577670517637
2,IA-NSGA-III,HV,0.9668218525866835
2,IA-NSGA-III,IGD,0.012800823943248683
3,IA-NSGA-III,HV,0.9617032629448357
3,IA-NSGA-III,IGD,0.012529663937327833
4,IA-NSGA-III,HV,0.9566130772678901
4,IA-NSGA-III,IGD,0.01393812592239183
5,IA-NSGA-III,HV,0.9539153007668464
5,IA-NSGA-III,IGD,0.010814626594350119
6,IA-NSGA-III,HV,0.9707466588042932
6,IA-NSGA-III,IGD,0.014417251911702357
7,IA-NSGA-III,HV,0.9483023608883945
7,IA-NSGA-III,IGD,0.008662825822149443
8,IA-NSGA-III,HV,0.9662066086462341
8,IA-NSGA-III,IGD,0.014696018628905256
9,IA-NSGA-III,HV,0.9541784382364454
9,IA-NSGA-III,IGD,0.013755180320140444
10,IA-NSGA-III,HV,0.9579137858771948
10,IA-NSGA-III,IGD,0.008313043493599473
11,IA-NSGA-III,HV,0.9567392122147685
11,IA-NSGA-III,IGD,0.010799235640457466
12,IA-NSGA-III,HV,0.956332762559322
12,IA-NSGA-III,IGD,0.010266630809858244
13,IA-NSGA-III,HV,0.9548034988002028
13,IA-NSGA-III,IGD,0.015533410984843388
14,IA-NSGA-III,HV,0.9553367328132534
14,IA-NSGA-III,IGD,0.012034067413407887
15,IA-NSGA-III,HV,0.9503169955842967
15,IA-NSGA-III,IGD,0.008968765654164169
16,IA-NSGA-III,HV,0.946403194112553
16,IA-NSGA-III,IGD,0.012615169655215211
17,IA-NSGA-III,HV,0.9576289028841947
17,IA-NSGA-III,IGD,0.010763257822219678
18,IA-NSGA-III,HV,0.9566861208252626
18,IA-NSGA-III,IGD,0.014667633717671894
19,IA-NSGA-III,HV,0.9596922412627322
19,IA-NSGA-III,IGD,0.01238143703062635
20,IA-NSGA-III,HV,0.9544094267018638
20,IA-NSGA-III,IGD,0.009422759334152972
21,IA-NSGA-III,HV,0.945289051976278
21,IA-NSGA-III,IGD,0.016031294618041363
22,IA-NSGA-III,HV,0.9495573486105443
22,IA-NSGA-III,IGD,0.00977841606355437
23,IA-NSGA-III,HV,0.9553937780076609
23,IA-NSGA-III,IGD,0.01088710825235441
24,IA-NSGA-III,HV,0.9591087192288615
24,IA-NSGA-III,IGD,0.012877501546745143
25,IA-NSGA-III,HV,0.9588565322288416
25,IA-NSGA-III,IGD,0.01660771380962405
26,IA-NSGA-III,HV,0.9441813274154308
26,IA-NSGA-III,IGD,0.01468202418810569
27,IA-NSGA-III,HV,0.9453046859539579
27,IA-NSGA-III,IGD,0.014073466562938054
28,IA-NSGA-III,HV,0.9537391779642824
28,IA-NSGA-III,IGD,0.009593490137918048
29,IA-NSGA-III,HV,0.9607330451890571
29,IA-NSGA-III,IGD,0.012102701614211345
30,IA-NSGA-III,HV,0.9645532265102226
30,IA-NSGA-III,IGD,0.01540162246396945
1,NSGA-III,HV,0.8268213618963545
1,NSGA-III,IGD,0.04598721279917178
2,NSGA-III,HV,0.8228962107845864
2,NSGA-III,IGD,0.04289220202509576
3,NSGA-III,HV,0.8404167569546934
3,NSGA-III,IGD,0.04430893366094152
4,NSGA-III,HV,0.8332787169490127
4,NSGA-III,IGD,0.050334364746803424
5,NSGA-III,HV,0.8393698911141644
5,NSGA-III,IGD,0.03966394565636119
6,NSGA-III,HV,0.8356383874856329
6,NSGA-III,IGD,0.04636647904341956
7,NSGA-III,HV,0.8323535297400715
7,NSGA-III,IGD,0.041750023455087916
8,NSGA-III,HV,0.8123962197262194
8,NSGA-III,IGD,0.053781576461733295
9,NSGA-III,HV,0.8532688271352901
9,NSGA-III,IGD,0.046340803057192834
10,NSGA-III,HV,0.8402231503372221
10,NSGA-III,IGD,0.046848180832471
11,NSGA-III,HV,0.8431220445030535
11,NSGA-III,IGD,0.035141121628065965
12,NSGA-III,HV,0.8402034527717874
12,NSGA-III,IGD,0.04725216487954711
13,NSGA-III,HV,0.837219884387304
13,NSGA-III,IGD,0.038857327284079445
14,NSGA-III,HV,0.8505102856149389
14,NSGA-III,IGD,0.04072024124237719
15,NSGA-III,HV,0.8451987437707621
15,NSGA-III,IGD,0.04217405203207757
16,NSGA-III,HV,0.8471324626113187
16,NSGA-III,IGD,0.04392733282968523
17,NSGA-III,HV,0.8277524430249567
17,NSGA-III,IGD,0.05905126433537156
18,NSGA-III,HV,0.8456677151490624
18,NSGA-III,IGD,0.03849501831809062
19,NSGA-III,HV,0.8451465276231672
19,NSGA-III,IGD,0.05501300345287635
20,NSGA-III,HV,0.8439411003361751
20,NSGA-III,IGD,0.030684431021030384
21,NSGA-III,HV,0.8370610624901246
21,NSGA-III,IGD,0.04155826573261526
22,NSGA-III,HV,0.841878798968764
22,NSGA-III,IGD,0.04076283705916714
23,NSGA-III,HV,0.832745476365811
23,NSGA-III,IGD,0.04112398794616547
24,NSGA-III,HV,0.8281895934660364
24,NSGA-III,IGD,0.03777963027961083
25,NSGA-III,HV,0.833200713254601
25,NSGA-III,IGD,0.03929176770480473
26,NSGA-III,HV,0.8324342285413475
26,NSGA-III,IGD,0.043348847737861636
27,NSGA-III,HV,0.8288683012567925
27,NSGA-III,IGD,0.05177628128334727
28,NSGA-III,HV,0.8181295553549216
28,NSGA-III,IGD,0.05119066750202498
29,NSGA-III,HV,0.8110701968394112
29,NSGA-III,IGD,0.04825762557671823
30,NSGA-III,HV,0.8705679113617393
30,NSGA-III,IGD,0.03725957264801613
1,MOEA/D,HV,0.7508525806915035
1,MOEA/D,IGD,0.10173237314668557
2,MOEA/D,HV,0.7390604540611503
2,MOEA/D,IGD,0.08129386204445482
3,MOEA/D,HV,0.7627324679606796
3,MOEA/D,IGD,0.10159522987783229
4,MOEA/D,HV,0.762475573517276
4,MOEA/D,IGD,0.07882424903663286
5,MOEA/D,HV,0.7495978646838027
5,MOEA/D,IGD,0.07142842593366912
6,MOEA/D,HV,0.7216376585030752
6,MOEA/D,IGD,0.1013865598019572
7,MOEA/D,HV,0.7688665784152946
7,MOEA/D,IGD,0.08190583159456753
8,MOEA/D,HV,0.7339974236004819
8,MOEA/D,IGD,0.07527036734556922
9,MOEA/D,HV,0.7379388348414544
9,MOEA/D,IGD,0.09208181646405325
10,MOEA/D,HV,0.7626235633846918
10,MOEA/D,IGD,0.09618091001598293
11,MOEA/D,HV,0.749328271149128
11,MOEA/D,IGD,0.07302490122569097
12,MOEA/D,HV,0.7709111940301488
12,MOEA/D,IGD,0.07179573285042024
13,MOEA/D,HV,0.7407850285419665
13,MOEA/D,IGD,0.09348335947403177
14,MOEA/D,HV,0.7593762324263147
14,MOEA/D,IGD,0.09701944123322365
15,MOEA/D,HV,0.7283603086211343
15,MOEA/D,IGD,0.08057291194870259
16,MOEA/D,HV,0.7677818056136058
16,MOEA/D,IGD,0.10404312689903455
17,MOEA/D,HV,0.7429048387166962
17,MOEA/D,IGD,0.07695933865740202
18,MOEA/D,HV,0.7569246214701209
18,MOEA/D,IGD,0.08990414833920343
19,MOEA/D,HV,0.7803773614743182
19,MOEA/D,IGD,0.057318050923995986
20,MOEA/D,HV,0.7799200801079733
20,MOEA/D,IGD,0.08648697456697232
21,MOEA/D,HV,0.786368940636802
21,MOEA/D,IGD,0.0933471187942411
22,MOEA/D,HV,0.7133355155895388
22,MOEA/D,IGD,0.08453429985331451
23,MOEA/D,HV,0.7349136020182307
23,MOEA/D,IGD,0.10270404445635098
24,MOEA/D,HV,0.7303201027467298
24,MOEA/D,IGD,0.09837574820682682
25,MOEA/D,HV,0.7300690191358483
25,MOEA/D,IGD,0.08594770984011103
26,MOEA/D,HV,0.7137394966977433
26,MOEA/D,IGD,0.07429124984857208
27,MOEA/D,HV,0.7428106547466264
27,MOEA/D,IGD,0.1009055288822622
28,MOEA/D,HV,0.7536895023491978
28,MOEA/D,IGD,0.09569564933325521
29,MOEA/D,HV,0.7394641904128727
29,MOEA/D,IGD,0.09652627187842641
30,MOEA/D,HV,0.7392098879298041
30,MOEA/D,IGD,0.07230268529276376
1,NSGA-II,HV,0.6454251361811078
1,NSGA-II,IGD,0.10679037079180462
2,NSGA-II,HV,0.712155862636508
2,NSGA-II,IGD,0.08796952528593369
3,NSGA-II,HV,0.6785929794610015
3,NSGA-II,IGD,0.14702617461914502
4,NSGA-II,HV,0.6572528308461584
4,NSGA-II,IGD,0.1520049076617829
5,NSGA-II,HV,0.6931968153773637
5,NSGA-II,IGD,0.12732789686532406
6,NSGA-II,HV,0.5929845642116734
6,NSGA-II,IGD,0.14989001560322912
7,NSGA-II,HV,0.6950323810480749
7,NSGA-II,IGD,0.1261578022810955
8,NSGA-II,HV,0.6037454802211926
8,NSGA-II,IGD,0.08931049041542054
9,NSGA-II,HV,0.7106380530352343
9,NSGA-II,IGD,0.15161409970834663
10,NSGA-II,HV,0.6390957978475631
10,NSGA-II,IGD,0.16360940195161772
11,NSGA-II,HV,0.6843801668206154
11,NSGA-II,IGD,0.10781318634272287
12,NSGA-II,HV,0.617273410720071
12,NSGA-II,IGD,0.13309290879506178
13,NSGA-II,HV,0.6707067896650553
13,NSGA-II,IGD,0.12814566995698465
14,NSGA-II,HV,0.7011688933440995
14,NSGA-II,IGD,0.11708083523670124
15,NSGA-II,HV,0.6843529674605632
15,NSGA-II,IGD,0.08262756302885207
16,NSGA-II,HV,0.6875202858931971
16,NSGA-II,IGD,0.11562435337815863
17,NSGA-II,HV,0.6634776193616614
17,NSGA-II,IGD,0.13676374800208554
18,NSGA-II,HV,0.691269854656034
18,NSGA-II,IGD,0.0953404496007548
19,NSGA-II,HV,0.6578121761715668
19,NSGA-II,IGD,0.13609098493654273
20,NSGA-II,HV,0.6728482144582791
20,NSGA-II,IGD,0.11048945348092894
21,NSGA-II,HV,0.6568031856488236
21,NSGA-II,IGD,0.13726255920433805
22,NSGA-II,HV,0.6386183266556502
22,NSGA-II,IGD,0.13901413710781854
23,NSGA-II,HV,0.6529704245725213
23,NSGA-II,IGD,0.13444452498009202
24,NSGA-II,HV,0.6724627407900416
24,NSGA-II,IGD,0.11980744372394823
25,NSGA-II,HV,0.6162201793912601
25,NSGA-II,IGD,0.14675952121474722
26,NSGA-II,HV,0.692031493962881
26,NSGA-II,IGD,0.12069662908721333
27,NSGA-II,HV,0.6754041739232307
27,NSGA-II,IGD,0.1613911232191566
28,NSGA-II,HV,0.6322923323019363
28,NSGA-II,IGD,0.1416802253889884
29,NSGA-II,HV,0.6821778799603301
29,NSGA-II,IGD,0.12440719634661691
30,NSGA-II,HV,0.7156361757505902
30,NSGA-II,IGD,0.15141967512861787
