generation,indicator,variant,value
0,Social reliability,IA-NSGA-III,0.13926368668325823
10,Social reliability,IA-NSGA-III,0.14675519841869433
20,Social reliability,IA-NSGA-III,0.1551070490531355
30,Social reliability,IA-NSGA-III,0.1643953761501454
40,Social reliability,IA-NSGA-III,0.17469722770176543
50,Social reliability,IA-NSGA-III,0.18608890933646105
60,Social reliability,IA-NSGA-III,0.1986439263311767
70,Social reliability,IA-NSGA-III,0.21243050756580162
80,Social reliability,IA-NSGA-III,0.2275087250516396
90,Social reliability,IA-NSGA-III,0.24392725823563005
100,Social reliability,IA-NSGA-III,0.2617198963832868
110,Social reliability,IA-NSGA-III,0.2809019228103298
120,Social reliability,IA-NSGA-III,0.30146657736818094
130,Social reliability,IA-NSGA-III,0.3233818420029557
140,Social reliability,IA-NSGA-III,0.3465878301104416
150,Social reliability,IA-NSGA-III,0.3709950745108659
160,Social reliability,IA-NSGA-III,0.39648399244797866
170,Social reliability,IA-NSGA-III,0.4229057530198526
180,Social reliability,IA-NSGA-III,0.45008468169117144
190,Social reliability,IA-NSGA-III,0.4778222134254446
200,Social reliability,IA-NSGA-III,0.5059022630299322
210,Social reliability,IA-NSGA-III,0.5340977369700677
220,Social reliability,IA-NSGA-III,0.5621777865745554
230,Social reliability,IA-NSGA-III,0.5899153183088285
240,Social reliability,IA-NSGA-III,0.6170942469801474
250,Social reliability,IA-NSGA-III,0.6435160075520213
260,Social reliability,IA-NSGA-III,0.6690049254891342
270,Social reliability,IA-NSGA-III,0.6934121698895584
280,Social reliability,IA-NSGA-III,0.7166181579970442
290,Social reliability,IA-NSGA-III,0.738533422631819
300,Social reliability,IA-NSGA-III,0.7590980771896702
310,Social reliability,IA-NSGA-III,0.7782801036167132
320,Social reliability,IA-NSGA-III,0.7960727417643698
330,Social reliability,IA-NSGA-III,0.8124912749483604
340,Social reliability,IA-NSGA-III,0.8275694924341984
350,Social reliability,IA-NSGA-III,0.8413560736688234
360,Social reliability,IA-NSGA-III,0.8539110906635389
370,Social reliability,IA-NSGA-III,0.8653027722982345
380,Social reliability,IA-NSGA-III,0.8756046238498545
390,Social reliability,IA-NSGA-III,0.8848929509468645
400,Social reliability,IA-NSGA-III,0.8932448015813057
410,Social reliability,IA-NSGA-III,0.9007363133167416
420,Social reliability,IA-NSGA-III,0.9074414348393985
430,Social reliability,IA-NSGA-III,0.9134309802855486
440,Social reliability,IA-NSGA-III,0.9187719698417169
450,Social reliability,IA-NSGA-III,0.9235272094490606
460,Social reliability,IA-NSGA-III,0.9277550646970701
470,Social reliability,IA-NSGA-III,0.9315093880453483
480,Social reliability,IA-NSGA-III,0.934839563499741
490,Social reliability,IA-NSGA-III,0.9377906381620079
500,Social reliability,IA-NSGA-III,0.9404035152447878
510,Social reliability,IA-NSGA-III,0.9427151879316729
520,Social reliability,IA-NSGA-III,0.944758997723039
530,Social reliability,IA-NSGA-III,0.9465649045852704
540,Social reliability,IA-NSGA-III,0.9481597593151316
550,Social reliability,IA-NSGA-III,0.9495675710786414
560,Social reliability,IA-NSGA-III,0.9508097651407058
570,Social reliability,IA-NSGA-III,0.9519054274319891
580,Social reliability,IA-NSGA-III,0.9528715338680167
590,Social reliability,IA-NSGA-III,0.9537231633037239
600,Social reliability,IA-NSGA-III,0.9544736937300689
610,Social reliability,IA-NSGA-III,0.9551349818463084
620,Social reliability,IA-NSGA-III,0.955717526513353
630,Social reliability,IA-NSGA-III,0.9562306168446231
640,Social reliability,IA-NSGA-III,0.9566824658492294
650,Social reliability,IA-NSGA-III,0.9570803306308685
660,Social reliability,IA-NSGA-III,0.9574306201826949
670,Social reliability,IA-NSGA-III,0.957738991817942
680,Social reliability,IA-NSGA-III,0.958010437249258
690,Social reliability,IA-NSGA-III,0.9582493592852184
700,Social reliability,IA-NSGA-III,0.9584596400566918
710,Social reliability,IA-NSGA-III,0.9586447016235254
720,Social reliability,IA-NSGA-III,0.9588075597469495
730,Social reliability,IA-NSGA-III,0.9589508715477083
740,Social reliability,IA-NSGA-III,0.9590769777060154
750,Social reliability,IA-NSGA-III,0.9591879397982067
760,Social reliability,IA-NSGA-III,0.9592855733071846
770,Social reliability,IA-NSGA-III,0.9593714767898651
780,Social reliability,IA-NSGA-III,0.9594470576350527
790,Social reliability,IA-NSGA-III,0.9595135547995073
800,Social reliability,IA-NSGA-III,0.9595720588683584
810,Social reliability,IA-NSGA-III,0.9596235297482867
820,Social reliability,IA-NSGA-III,0.9596688122678197
830,Social reliability,IA-NSGA-III,0.9597086499284447
840,Social reliability,IA-NSGA-III,0.959743697022737
850,Social reliability,IA-NSGA-III,0.9597745293111194
860,Social reliability,IA-NSGA-III,0.959801653426899
870,Social reliability,IA-NSGA-III,0.9598255151596774
880,Social reliability,IA-NSGA-III,0.959846506749827
890,Social reliability,IA-NSGA-III,0.959864973311268
