algorithm,run_id,seed,generation,mean_direction_shift
IA-NSGA-III,1,1809036,10,0.023698325028538105
IA-NSGA-III,1,1809036,20,0.01930987262316525
IA-NSGA-III,1,1809036,30,0.019455045937251125
IA-NSGA-III,2,1809037,10,0.022066293806257676
IA-NSGA-III,2,1809037,20,0.019400101925980674
IA-NSGA-III,2,1809037,30,0.018942779464649725
IA-NSGA-III,3,1809038,10,0.02213302097983642
IA-NSGA-III,3,1809038,20,0.018939681196743635
IA-NSGA-III,3,1809038,30,0.015356681232971646
IA-NSGA-III,4,1809039,10,0.021967225057132143
IA-NSGA-III,4,1809039,20,0.02362505061404291
IA-NSGA-III,4,1809039,30,0.019309658050565177
IA-NSGA-III,5,1809040,10,0.019430625361832474
IA-NSGA-III,5,1809040,20,0.01597544020931402
IA-NSGA-III,5,1809040,30,0.016796718964318655
