year,total_economic_output,capture_value,aquaculture_value,processing_value,circulation_service,per_capita_income_rmb,export_value_million_usd,paper_reported_monetary_unit,provenance
2014,208589,49884,125967,18421,14316,14426,21698,"10^4 RMB","Paper Table 2"
2015,220199,51402,133308,20143,15345,15594,20332,"10^4 RMB","Paper Table 2"
2016,236622,52179,145293,22401,16749,16904,20737,"10^4 RMB","Paper Table 2"
2017,247612,52533,152319,23046,19913,18452,21150,"10^4 RMB","Paper Table 2"
2018,258644,52307,160649,23945,21943,19885,22443,"10^4 RMB","Paper Table 2"
2019,264065,52011,165321,24211,22620,21108,20657,"10^4 RMB","Paper Table 2"
2020,275434,52673,172754,25587,24519,21837,19044,"10^4 RMB","Paper Table 2"
2021,296897,55187,187230,27543,26936,23442,21926,"10^4 RMB","Paper Table 2"
2022,308731,56800,193288,28594,30048,24614,23031,"10^4 RMB","Paper Table 2"
2023,326699,60121,203124,29622,33831,25777,20462,"10^4 RMB","Paper Table 2"
