generation,algorithm,value,metric
0,IA-NSGA-III,0.09999999999999998,HV
10,IA-NSGA-III,0.16140671891040914,HV
20,IA-NSGA-III,0.21842954908048595,HV
30,IA-NSGA-III,0.2713814874271778,HV
40,IA-NSGA-III,0.3205531837970975,HV
50,IA-NSGA-III,0.3662145364824073,HV
60,IA-NSGA-III,0.40861617382150456,HV
70,IA-NSGA-III,0.44799083001772416,HV
80,IA-NSGA-III,0.4845546227285838,HV
90,IA-NSGA-III,0.518508239438869,HV
100,IA-NSGA-III,0.5501880391301285,HV
110,IA-NSGA-III,0.579467075294167,HV
120,IA-NSGA-III,0.6066560459063498,HV
130,IA-NSGA-III,0.6319041755735723,HV
140,IA-NSGA-III,0.655350034699428,HV
150,IA-NSGA-III,0.6771223001633649,HV
160,IA-NSGA-III,0.6973404616895598,HV
170,IA-NSGA-III,0.716115477783107,HV
180,IA-NSGA-III,0.7335503848342715,HV
190,IA-NSGA-III,0.7497408627344655,HV
200,IA-NSGA-III,0.76492576010889,HV
210,IA-NSGA-III,0.7788875820490917,HV
220,IA-NSGA-III,0.7918529430228312,HV
230,IA-NSGA-III,0.8038929874475049,HV
240,IA-NSGA-III,0.8150737802358451,HV
250,IA-NSGA-III,0.8254566694577925,HV
260,IA-NSGA-III,0.835098623109365,HV
270,IA-NSGA-III,0.8440525418372078,HV
280,IA-NSGA-III,0.8523675493355192,HV
290,IA-NSGA-III,0.8600892620094798,HV
300,IA-NSGA-III,0.867410039385497,HV
310,IA-NSGA-III,0.874069216642885,HV
320,IA-NSGA-III,0.8802533205434583,HV
330,IA-NSGA-III,0.8859962699443812,HV
340,IA-NSGA-III,0.8913295619949808,HV
350,IA-NSGA-III,0.8962824450396498,HV
360,IA-NSGA-III,0.9008820791759837,HV
370,IA-NSGA-III,0.905153685349534,HV
380,IA-NSGA-III,0.9091206838036292,HV
390,IA-NSGA-III,0.912804822644281,HV
400,IA-NSGA-III,0.9163762972259294,HV
410,IA-NSGA-III,0.9195538610133929,HV
420,IA-NSGA-III,0.9225049285285974,HV
430,IA-NSGA-III,0.9252456709472087,HV
440,IA-NSGA-III,0.9277911048699409,HV
450,IA-NSGA-III,0.9301551747558543,HV
460,IA-NSGA-III,0.9323508294701532,HV
470,IA-NSGA-III,0.9343900933666944,HV
480,IA-NSGA-III,0.9362841322954107,HV
490,IA-NSGA-III,0.9380433148969968,HV
500,IA-NSGA-III,0.9398272695213314,HV
510,IA-NSGA-III,0.9413449370820914,HV
520,IA-NSGA-III,0.9427546201376982,HV
530,IA-NSGA-III,0.9440640284680281,HV
540,IA-NSGA-III,0.9452803213970783,HV
550,IA-NSGA-III,0.9464101470939169,HV
560,IA-NSGA-III,0.947459679067659,HV
570,IA-NSGA-III,0.9484346500568092,HV
580,IA-NSGA-III,0.9493403834990005,HV
590,IA-NSGA-III,0.9501818227538893,HV
600,IA-NSGA-III,0.9511135582396167,HV
610,IA-NSGA-III,0.9518398526318083,HV
620,IA-NSGA-III,0.9525146642634365,HV
630,IA-NSGA-III,0.953141668854002,HV
640,IA-NSGA-III,0.9537242796873148,HV
650,IA-NSGA-III,0.954265666348639,HV
660,IA-NSGA-III,0.9547687721240616,HV
670,IA-NSGA-III,0.9552363301575959,HV
680,IA-NSGA-III,0.9556708784547148,HV
690,IA-NSGA-III,0.9560747738146753,HV
700,IA-NSGA-III,0.9566002047681168,HV
710,IA-NSGA-III,0.9569492035909499,HV
720,IA-NSGA-III,0.9572736574604912,HV
730,IA-NSGA-III,0.9575753188150806,HV
740,IA-NSGA-III,0.9578558149740533,HV
750,IA-NSGA-III,0.9581166570708723,HV
760,IA-NSGA-III,0.958359248348463,HV
770,IA-NSGA-III,0.9585848918622831,HV
780,IA-NSGA-III,0.9587947976334176,HV
790,IA-NSGA-III,0.958990089290962,HV
800,IA-NSGA-III,0.9593218102401596,HV
810,IA-NSGA-III,0.9594909293901513,HV
820,IA-NSGA-III,0.9596483464727811,HV
830,IA-NSGA-III,0.9597948969816533,HV
840,IA-NSGA-III,0.9599313567585576,HV
850,IA-NSGA-III,0.9600584462524334,HV
860,IA-NSGA-III,0.9601768344742602,HV
870,IA-NSGA-III,0.9602871426695773,HV
880,IA-NSGA-III,0.9603899477287977,HV
890,IA-NSGA-III,0.9604857853540355,HV
900,IA-NSGA-III,0.9607251529998304,HV
910,IA-NSGA-III,0.9608085126039136,HV
920,IA-NSGA-III,0.9608862931230046,HV
930,IA-NSGA-III,0.9609588928875594,HV
940,IA-NSGA-III,0.9610266817883973,HV
950,IA-NSGA-III,0.961090003307208,HV
960,IA-NSGA-III,0.9611491764020862,HV
970,IA-NSGA-III,0.961204497258446,HV
980,IA-NSGA-III,0.9612562409149235,HV
990,IA-NSGA-III,0.961304662773195,HV
1000,IA-NSGA-III,0.96,HV
0,NSGA-III,0.08999999999999997,HV
10,NSGA-III,0.12470846100468348,HV
20,NSGA-III,0.1578058347680961,HV
30,NSGA-III,0.18936704175298563,HV
40,NSGA-III,0.21946351839243722,HV
50,NSGA-III,0.24816337910786165,HV
60,NSGA-III,0.2755315707926539,HV
70,NSGA-III,0.30163002011189255,HV
80,NSGA-III,0.32651777395215276,HV
90,NSGA-III,0.35025113333997654,HV
100,NSGA-III,0.3728837811327252,HV
