alpha,indicator,algorithm,value
1.0,Social reliability,IA-NSGA-III,0.88
1.1,Social reliability,IA-NSGA-III,0.9
1.2,Social reliability,IA-NSGA-III,0.92
1.3,Social reliability,IA-NSGA-III,0.94
1.4,Social reliability,IA-NSGA-III,0.95
1.5,Social reliability,IA-NSGA-III,0.96
1.0,Social reliability,NSGA-III,0.81
1.1,Social reliability,NSGA-III,0.825
1.2,Social reliability,NSGA-III,0.835
1.3,Social reliability,NSGA-III,0.84
1.4,Social reliability,NSGA-III,0.845
1.5,Social reliability,NSGA-III,0.85
1.0,Social reliability,MOEA/D,0.74
1.1,Social reliability,MOEA/D,0.755
1.2,Social reliability,MOEA/D,0.765
1.3,Social reliability,MOEA/D,0.77
1.4,Social reliability,MOEA/D,0.78
1.5,Social reliability,MOEA/D,0.78
1.0,Social reliability,NSGA-II,0.68
1.1,Social reliability,NSGA-II,0.69
1.2,Social reliability,NSGA-II,0.7
1.3,Social reliability,NSGA-II,0.71
1.4,Social reliability,NSGA-II,0.715
1.5,Social reliability,NSGA-II,0.72
1.0,Economic efficiency,IA-NSGA-III,0.81
1.1,Economic efficiency,IA-NSGA-III,0.86
1.2,Economic efficiency,IA-NSGA-III,0.9
1.3,Economic efficiency,IA-NSGA-III,0.94
1.4,Economic efficiency,IA-NSGA-III,0.96
1.5,Economic efficiency,IA-NSGA-III,0.975
1.0,Economic efficiency,NSGA-III,0.76
1.1,Economic efficiency,NSGA-III,0.78
1.2,Economic efficiency,NSGA-III,0.8
1.3,Economic efficiency,NSGA-III,0.815
1.4,Economic efficiency,NSGA-III,0.825
1.5,Economic efficiency,NSGA-III,0.835
1.0,Economic efficiency,MOEA/D,0.71
1.1,Economic efficiency,MOEA/D,0.725
1.2,Economic efficiency,MOEA/D,0.74
1.3,Economic efficiency,MOEA/D,0.75
1.4,Economic efficiency,MOEA/D,0.755
1.5,Economic efficiency,MOEA/D,0.765
1.0,Economic efficiency,NSGA-II,0.63
1.1,Economic efficiency,NSGA-II,0.645
1.2,Economic efficiency,NSGA-II,0.66
1.3,Economic efficiency,NSGA-II,0.668
1.4,Economic efficiency,NSGA-II,0.675
1.5,Economic efficiency,NSGA-II,0.68
1.0,Ecological security,IA-NSGA-III,0.999
1.1,Ecological security,IA-NSGA-III,0.999
1.2,Ecological security,IA-NSGA-III,1.0
1.3,Ecological security,IA-NSGA-III,1.0
1.4,Ecological security,IA-NSGA-III,1.0
1.5,Ecological security,IA-NSGA-III,1.0
1.0,Ecological security,NSGA-III,0.925
1.1,Ecological security,NSGA-III,0.927
1.2,Ecological security,NSGA-III,0.932
1.3,Ecological security,NSGA-III,0.936
1.4,Ecological security,NSGA-III,0.938
1.5,Ecological security,NSGA-III,0.94
1.0,Ecological security,MOEA/D,0.885
1.1,Ecological security,MOEA/D,0.887
1.2,Ecological security,MOEA/D,0.89
1.3,Ecological security,MOEA/D,0.893
1.4,Ecological security,MOEA/D,0.896
1.5,Ecological security,MOEA/D,0.898
1.0,Ecological security,NSGA-II,0.82
1.1,Ecological security,NSGA-II,0.822
1.2,Ecological security,NSGA-II,0.825
1.3,Ecological security,NSGA-II,0.828
1.4,Ecological security,NSGA-II,0.832
1.5,Ecological security,NSGA-II,0.833
