check,year,reported,calculated,difference,status
table_2_component_sum,2014,208589.0,208588.0,1.0,pass
table_2_component_sum,2015,220199.0,220198.0,1.0,pass
table_2_component_sum,2016,236622.0,236622.0,0.0,pass
table_2_component_sum,2017,247612.0,247811.0,-199.0,review
table_2_component_sum,2018,258644.0,258844.0,-200.0,review
table_2_component_sum,2019,264065.0,264163.0,-98.0,review
table_2_component_sum,2020,275434.0,275533.0,-99.0,review
table_2_component_sum,2021,296897.0,296896.0,1.0,pass
table_2_component_sum,2022,308731.0,308730.0,1.0,pass
table_2_component_sum,2023,326699.0,326698.0,1.0,pass
official_2023_total_production_tonnes,2023,71161716.0,71161700.0,16.0,pass
official_2023_marine_aquaculture_tonnes,2023,23955970.0,23956000.0,-30.0,pass
official_2023_domestic_capture_tonnes,2023,9574869.0,9574900.0,-31.0,pass
official_2023_distant_water_capture_tonnes,2023,2322333.0,2322300.0,33.0,pass
official_2023_processing_enterprises,2023,9433.0,9433.0,0.0,pass
official_2023_cold_storage_units,2023,9143.0,9143.0,0.0,pass
official_2023_fleet_power_kw,2023,18940154.0,18940200.0,-46.0,pass
